,wartosc
0,124.73503875732422
1,127.07996368408205
2,134.85374450683594
3,141.0510711669922
4,134.9467315673828
5,133.59487915039062
6,119.38581085205078
7,123.46105194091795
8,119.4252700805664
9,123.10581970214844
10,121.75399017333984
11,121.3691635131836
12,124.5365982055664
13,132.38121032714844
14,131.7299346923828
15,128.02701161702473
16,128.41726481119792
17,127.9616689046224
18,126.85503845214843
19,126.12373402913411
20,125.5761225382487
21,125.92702077229818
22,126.23884582519531
23,127.04837595621744
24,127.86622975667318
25,129.53330993652344
26,131.0725092569987
27,132.38143717447917
28,133.23921610514324
29,134.0981679280599
30,134.99737447102865
31,136.00902709960937
32,137.6571258544922
33,139.5965576171875
34,141.20069732666016
35,142.53176523844402
36,143.58690795898437
37,144.47477315266926
38,145.0026611328125
39,145.64905802408853
40,145.93362833658855
41,146.20345255533854
42,146.50485127766927
43,146.96573791503906
44,147.96652526855468
45,149.10814107259114
46,150.5474416097005
47,151.6752482096354
48,153.04700419108073
49,155.09564208984375
50,156.77325744628905
51,158.97911580403647
52,160.28228759765625
53,161.53701883951823
54,163.41683858235677
55,164.73807474772136
56,166.2719299316406
57,167.2679016113281
58,168.14571736653645
59,168.0454559326172
60,167.8514607747396
61,167.70970560709637
62,167.93388773600262
63,167.6965565999349
64,166.746928914388
65,166.39216206868488
66,165.19724833170574
67,164.8867431640625
68,164.0416025797526
69,162.13555094401042
70,160.2741678873698
71,158.7037801106771
72,156.88277689615884
73,154.83595581054686
74,153.35504557291668
75,152.10753682454427
76,150.88799641927082
77,149.4953603108724
78,148.26087137858073
79,148.2809631347656
80,148.21291910807292
81,149.2194610595703
82,149.9141611735026
83,150.91512858072917
84,151.5204844156901
85,152.20133158365886
86,152.32054951985677
87,153.17664591471353
88,153.6549814860026
89,154.0836639404297
90,154.24203186035157
91,154.62549845377603
92,154.10801900227864
93,153.2063181559245
94,152.23675638834635
95,151.27509765625
96,149.71790262858073
97,147.9688262939453
98,146.86386210123698
99,145.40316874186198
100,143.8373809814453
101,142.47063598632812
102,141.40029703776042
103,141.51635335286457
104,141.6185089111328
105,142.13225402832032
106,142.13790893554688
107,142.22718098958333
108,143.0854471842448
109,143.38568318684895
110,143.91022237141928
111,144.62226053873698
112,146.21571350097656
113,147.3162099202474
114,149.51261189778646
115,151.77136942545573
116,154.4455108642578
117,157.13935241699218
118,159.04122009277344
119,161.14515177408853
120,162.90839131673178
121,164.53936157226562
